Freq.	V(n005)
1.00000000000000e+001	(-1.83569144900864e+001dB,8.19826612459664e+001°)
1.00023028502082e+001	(-1.83549126364209e+001dB,8.19808409334360e+001°)
1.00046062307284e+001	(-1.83529107820692e+001dB,8.19790201840540e+001°)
1.00069101416826e+001	(-1.83509089270312e+001dB,8.19771989977158e+001°)
1.00092145831930e+001	(-1.83489070713069e+001dB,8.19753773743170e+001°)
1.00115195553817e+001	(-1.83469052148960e+001dB,8.19735553137531e+001°)
1.00138250583710e+001	(-1.83449033577985e+001dB,8.19717328159193e+001°)
1.00161310922831e+001	(-1.83429015000141e+001dB,8.19699098807110e+001°)
1.00184376572403e+001	(-1.83408996415427e+001dB,8.19680865080236e+001°)
1.00207447533648e+001	(-1.83388977823842e+001dB,8.19662626977522e+001°)
1.00230523807790e+001	(-1.83368959225383e+001dB,8.19644384497923e+001°)
1.00253605396052e+001	(-1.83348940620049e+001dB,8.19626137640391e+001°)
1.00276692299659e+001	(-1.83328922007839e+001dB,8.19607886403876e+001°)
1.00299784519833e+001	(-1.83308903388751e+001dB,8.19589630787333e+001°)
1.00322882057800e+001	(-1.83288884762784e+001dB,8.19571370789710e+001°)
1.00345984914784e+001	(-1.83268866129937e+001dB,8.19553106409962e+001°)
1.00369093092010e+001	(-1.83248847490205e+001dB,8.19534837647037e+001°)
1.00392206590702e+001	(-1.83228828843593e+001dB,8.19516564499888e+001°)
1.00415325412088e+001	(-1.83208810190094e+001dB,8.19498286967464e+001°)
1.00438449557391e+001	(-1.83188791529706e+001dB,8.19480005048713e+001°)
1.00461579027839e+001	(-1.83168772862432e+001dB,8.19461718742590e+001°)
1.00484713824658e+001	(-1.83148754188266e+001dB,8.19443428048040e+001°)
1.00507853949074e+001	(-1.83128735507210e+001dB,8.19425132964015e+001°)
1.00530999402313e+001	(-1.83108716819260e+001dB,8.19406833489462e+001°)
1.00554150185604e+001	(-1.83088698124416e+001dB,8.19388529623331e+001°)
1.00577306300174e+001	(-1.83068679422676e+001dB,8.19370221364571e+001°)
1.00600467747250e+001	(-1.83048660714036e+001dB,8.19351908712126e+001°)
1.00623634528060e+001	(-1.83028641998500e+001dB,8.19333591664949e+001°)
1.00646806643832e+001	(-1.83008623276062e+001dB,8.19315270221985e+001°)
1.00669984095796e+001	(-1.82988604546721e+001dB,8.19296944382182e+001°)
1.00693166885180e+001	(-1.82968585810477e+001dB,8.19278614144486e+001°)
1.00716355013213e+001	(-1.82948567067326e+001dB,8.19260279507843e+001°)
1.00739548481125e+001	(-1.82928548317271e+001dB,8.19241940471203e+001°)
1.00762747290145e+001	(-1.82908529560307e+001dB,8.19223597033508e+001°)
1.00785951441503e+001	(-1.82888510796431e+001dB,8.19205249193704e+001°)
1.00809160936429e+001	(-1.82868492025645e+001dB,8.19186896950740e+001°)
1.00832375776155e+001	(-1.82848473247946e+001dB,8.19168540303559e+001°)
1.00855595961910e+001	(-1.82828454463333e+001dB,8.19150179251104e+001°)
1.00878821494927e+001	(-1.82808435671803e+001dB,8.19131813792323e+001°)
1.00902052376435e+001	(-1.82788416873358e+001dB,8.19113443926159e+001°)
1.00925288607668e+001	(-1.82768398067991e+001dB,8.19095069651556e+001°)
1.00948530189857e+001	(-1.82748379255705e+001dB,8.19076690967457e+001°)
1.00971777124234e+001	(-1.82728360436496e+001dB,8.19058307872805e+001°)
1.00995029412032e+001	(-1.82708341610364e+001dB,8.19039920366546e+001°)
1.01018287054483e+001	(-1.82688322777307e+001dB,8.19021528447621e+001°)
1.01041550052821e+001	(-1.82668303937324e+001dB,8.19003132114973e+001°)
1.01064818408279e+001	(-1.82648285090413e+001dB,8.18984731367545e+001°)
1.01088092122091e+001	(-1.82628266236571e+001dB,8.18966326204276e+001°)
1.01111371195490e+001	(-1.82608247375799e+001dB,8.18947916624112e+001°)
1.01134655629712e+001	(-1.82588228508095e+001dB,8.18929502625992e+001°)
1.01157945425990e+001	(-1.82568209633456e+001dB,8.18911084208857e+001°)
1.01181240585559e+001	(-1.82548190751881e+001dB,8.18892661371647e+001°)
1.01204541109654e+001	(-1.82528171863369e+001dB,8.18874234113306e+001°)
1.01227846999511e+001	(-1.82508152967919e+001dB,8.18855802432771e+001°)
1.01251158256365e+001	(-1.82488134065527e+001dB,8.18837366328983e+001°)
1.01274474881453e+001	(-1.82468115156196e+001dB,8.18818925800882e+001°)
1.01297796876010e+001	(-1.82448096239922e+001dB,8.18800480847408e+001°)
