Frequency,Magnitude,Phase,
1.0000,-8.9949,-111.5175,
1.0002,-8.9931,-111.5217,
1.0005,-8.9914,-111.5259,
1.0007,-8.9896,-111.5301,
1.0009,-8.9879,-111.5343,
1.0012,-8.9861,-111.5385,
1.0014,-8.9843,-111.5427,
1.0016,-8.9826,-111.5469,
1.0018,-8.9808,-111.5511,
1.0021,-8.9791,-111.5553,
1.0023,-8.9773,-111.5595,
1.0025,-8.9755,-111.5637,
1.0028,-8.9738,-111.5679,
1.0030,-8.9720,-111.5721,
1.0032,-8.9703,-111.5763,
1.0035,-8.9685,-111.5805,
1.0037,-8.9667,-111.5847,
1.0039,-8.9650,-111.5889,
1.0042,-8.9632,-111.5931,
1.0044,-8.9615,-111.5973,
1.0046,-8.9597,-111.6015,
1.0048,-8.9579,-111.6057,
1.0051,-8.9562,-111.6100,
1.0053,-8.9544,-111.6142,
1.0055,-8.9527,-111.6184,
1.0058,-8.9509,-111.6226,
1.0060,-8.9491,-111.6268,
1.0062,-8.9474,-111.6310,
1.0065,-8.9456,-111.6352,
1.0067,-8.9439,-111.6395,
1.0069,-8.9421,-111.6437,
1.0072,-8.9403,-111.6479,
1.0074,-8.9386,-111.6521,
1.0076,-8.9368,-111.6563,
1.0079,-8.9351,-111.6606,
1.0081,-8.9333,-111.6648,
1.0083,-8.9315,-111.6690,
1.0086,-8.9298,-111.6732,
1.0088,-8.9280,-111.6774,
1.0090,-8.9263,-111.6817,
1.0093,-8.9245,-111.6859,
1.0095,-8.9228,-111.6901,
1.0097,-8.9210,-111.6944,
1.0100,-8.9192,-111.6986,
1.0102,-8.9175,-111.7028,
1.0104,-8.9157,-111.7070,
1.0106,-8.9140,-111.7113,
1.0109,-8.9122,-111.7155,
1.0111,-8.9105,-111.7197,
1.0113,-8.9087,-111.7240,
1.0116,-8.9069,-111.7282,
1.0118,-8.9052,-111.7324,
1.0120,-8.9034,-111.7367,
1.0123,-8.9017,-111.7409,
1.0125,-8.8999,-111.7452,
1.0127,-8.8982,-111.7494,
1.0130,-8.8964,-111.7536,
1.0132,-8.8946,-111.7579,
1.0134,-8.8929,-111.7621,
1.0137,-8.8911,-111.7664,
1.0139,-8.8894,-111.7706,
1.0141,-8.8876,-111.7748,
1.0144,-8.8859,-111.7791,
1.0146,-8.8841,-111.7833,
1.0148,-8.8824,-111.7876,
1.0151,-8.8806,-111.7918,
1.0153,-8.8788,-111.7961,
1.0155,-8.8771,-111.8003,
1.0158,-8.8753,-111.8046,
1.0160,-8.8736,-111.8088,
1.0162,-8.8718,-111.8131,
1.0165,-8.8701,-111.8173,
1.0167,-8.8683,-111.8216,
1.0170,-8.8666,-111.8258,
1.0172,-8.8648,-111.8301,
1.0174,-8.8631,-111.8343,
1.0177,-8.8613,-111.8386,
1.0179,-8.8595,-111.8428,
1.0181,-8.8578,-111.8471,
1.0184,-8.8560,-111.8514,
1.0186,-8.8543,-111.8556,
1.0188,-8.8525,-111.8599,
1.0191,-8.8508,-111.8641,
1.0193,-8.8490,-111.8684,
1.0195,-8.8473,-111.8727,
1.0198,-8.8455,-111.8769,
1.0200,-8.8438,-111.8812,
1.0202,-8.8420,-111.8855,
1.0205,-8.8403,-111.8897,
1.0207,-8.8385,-111.8940,
1.0209,-8.8367,-111.8983,
1.0212,-8.8350,-111.9025,
1.0214,-8.8332,-111.9068,
1.0216,-8.8315,-111.9111,
1.0219,-8.8297,-111.9153,
1.0221,-8.8280,-111.9196,
1.0224,-8.8262,-111.9239,
1.0226,-8.8245,-111.9281,
1.0228,-8.8227,-111.9324,
1.0231,-8.8210,-111.9367,
1.0233,-8.8192,-111.9410,
1.0235,-8.8175,-111.9452,
1.0238,-8.8157,-111.9495,
1.0240,-8.8140,-111.9538,
1.0242,-8.8122,-111.9581,
1.0245,-8.8105,-111.9624,
1.0247,-8.8087,-111.9666,
1.0249,-8.8070,-111.9709,
1.0252,-8.8052,-111.9752,
1.0254,-8.8035,-111.9795,
1.0257,-8.8017,-111.9838,
1.0259,-8.8000,-111.9881,
1.0261,-8.7982,-111.9923,
1.0264,-8.7965,-111.9966,
1.0266,-8.7947,-112.0009,
1.0268,-8.7930,-112.0052,
1.0271,-8.7912,-112.0095,
1.0273,-8.7895,-112.0138,
1.0275,-8.7877,-112.0181,
1.0278,-8.7860,-112.0224,
1.0280,-8.7842,-112.0267,
1.0283,-8.7825,-112.0309,
1.0285,-8.7807,-112.0352,
1.0287,-8.7790,-112.0395,
1.0290,-8.7772,-112.0438,
1.0292,-8.7755,-112.0481,
1.0294,-8.7737,-112.0524,
1.0297,-8.7720,-112.0567,
1.0299,-8.7702,-112.0610,
1.0301,-8.7685,-112.0653,
1.0304,-8.7667,-112.0696,
1.0306,-8.7650,-112.0739,
1.0309,-8.7632,-112.0782,
1.0311,-8.7615,-112.0825,
1.0313,-8.7597,-112.0868,
1.0316,-8.7580,-112.0911,
1.0318,-8.7562,-112.0954,
1.0320,-8.7545,-112.0997,
1.0323,-8.7527,-112.1041,
1.0325,-8.7510,-112.1084,
1.0328,-8.7492,-112.1127,
1.0330,-8.7475,-112.1170,
1.0332,-8.7457,-112.1213,
1.0335,-8.7440,-112.1256,
1.0337,-8.7422,-112.1299,
1.0340,-8.7405,-112.1342,
1.0342,-8.7387,-112.1385,
1.0344,-8.7370,-112.1428,
1.0347,-8.7353,-112.1472,
1.0349,-8.7335,-112.1515,
1.0351,-8.7318,-112.1558,
1.0354,-8.7300,-112.1601,
1.0356,-8.7283,-112.1644,
1.0359,-8.7265,-112.1688,
1.0361,-8.7248,-112.1731,
1.0363,-8.7230,-112.1774,
1.0366,-8.7213,-112.1817,
1.0368,-8.7195,-112.1860,
1.0371,-8.7178,-112.1904,
1.0373,-8.7160,-112.1947,
1.0375,-8.7143,-112.1990,
1.0378,-8.7125,-112.2033,
1.0380,-8.7108,-112.2077,
1.0382,-8.7091,-112.2120,
1.0385,-8.7073,-112.2163,
1.0387,-8.7056,-112.2206,
1.0390,-8.7038,-112.2250,
1.0392,-8.7021,-112.2293,
1.0394,-8.7003,-112.2336,
1.0397,-8.6986,-112.2380,
1.0399,-8.6968,-112.2423,
1.0402,-8.6951,-112.2466,
1.0404,-8.6934,-112.2510,
1.0406,-8.6916,-112.2553,
1.0409,-8.6899,-112.2596,
1.0411,-8.6881,-112.2640,
1.0414,-8.6864,-112.2683,
1.0416,-8.6846,-112.2727,
1.0418,-8.6829,-112.2770,
1.0421,-8.6811,-112.2813,
1.0423,-8.6794,-112.2857,
1.0426,-8.6777,-112.2900,
1.0428,-8.6759,-112.2944,
1.0430,-8.6742,-112.2987,
1.0433,-8.6724,-112.3031,
1.0435,-8.6707,-112.3074,
1.0438,-8.6689,-112.3117,
1.0440,-8.6672,-112.3161,
1.0442,-8.6654,-112.3204,
1.0445,-8.6637,-112.3248,
1.0447,-8.6620,-112.3291,
1.0450,-8.6602,-112.3335,
1.0452,-8.6585,-112.3378,
1.0454,-8.6567,-112.3422,
1.0457,-8.6550,-112.3465,
1.0459,-8.6533,-112.3509,
1.0462,-8.6515,-112.3553,
1.0464,-8.6498,-112.3596,
1.0466,-8.6480,-112.3640,
1.0469,-8.6463,-112.3683,
1.0471,-8.6445,-112.3727,
1.0474,-8.6428,-112.3770,
1.0476,-8.6411,-112.3814,
1.0479,-8.6393,-112.3858,
1.0481,-8.6376,-112.3901,
1.0483,-8.6358,-112.3945,
1.0486,-8.6341,-112.3989,
1.0488,-8.6324,-112.4032,
1.0491,-8.6306,-112.4076,
1.0493,-8.6289,-112.4119,
1.0495,-8.6271,-112.4163,
1.0498,-8.6254,-112.4207,
1.0500,-8.6236,-112.4250,
1.0503,-8.6219,-112.4294,
1.0505,-8.6202,-112.4338,
1.0508,-8.6184,-112.4382,
1.0510,-8.6167,-112.4425,
1.0512,-8.6149,-112.4469,
1.0515,-8.6132,-112.4513,
1.0517,-8.6115,-112.4556,
1.0520,-8.6097,-112.4600,
1.0522,-8.6080,-112.4644,
1.0524,-8.6062,-112.4688,
1.0527,-8.6045,-112.4731,
1.0529,-8.6028,-112.4775,
1.0532,-8.6010,-112.4819,
1.0534,-8.5993,-112.4863,
1.0537,-8.5976,-112.4907,
1.0539,-8.5958,-112.4950,
1.0541,-8.5941,-112.4994,
1.0544,-8.5923,-112.5038,
1.0546,-8.5906,-112.5082,
1.0549,-8.5889,-112.5126,
1.0551,-8.5871,-112.5170,
