Freq.	V(n014)
1.00000000000000e+001	(-2.29690192777746e-001dB,-1.68540061234080e+002°)
1.00023028502082e+001	(-2.29541167448554e-001dB,-1.68544800882369e+002°)
1.00046062307284e+001	(-2.29392217139647e-001dB,-1.68549540101979e+002°)
1.00069101416826e+001	(-2.29243341827433e-001dB,-1.68554278893045e+002°)
1.00092145831930e+001	(-2.29094541488235e-001dB,-1.68559017255700e+002°)
1.00115195553817e+001	(-2.28945816098453e-001dB,-1.68563755190078e+002°)
1.00138250583710e+001	(-2.28797165634214e-001dB,-1.68568492696314e+002°)
1.00161310922831e+001	(-2.28648590072018e-001dB,-1.68573229774542e+002°)
1.00184376572403e+001	(-2.28500089388105e-001dB,-1.68577966424896e+002°)
1.00207447533648e+001	(-2.28351663558825e-001dB,-1.68582702647510e+002°)
1.00230523807790e+001	(-2.28203312560480e-001dB,-1.68587438442519e+002°)
1.00253605396052e+001	(-2.28055036369518e-001dB,-1.68592173810057e+002°)
1.00276692299659e+001	(-2.27906834962208e-001dB,-1.68596908750258e+002°)
1.00299784519833e+001	(-2.27758708314989e-001dB,-1.68601643263256e+002°)
1.00322882057800e+001	(-2.27610656404339e-001dB,-1.68606377349187e+002°)
1.00345984914784e+001	(-2.27462679206624e-001dB,-1.68611111008184e+002°)
1.00369093092010e+001	(-2.27314776697950e-001dB,-1.68615844240382e+002°)
1.00392206590702e+001	(-2.27166948855286e-001dB,-1.68620577045916e+002°)
1.00415325412088e+001	(-2.27019195654673e-001dB,-1.68625309424920e+002°)
1.00438449557391e+001	(-2.26871517072474e-001dB,-1.68630041377529e+002°)
1.00461579027839e+001	(-2.26723913085507e-001dB,-1.68634772903878e+002°)
1.00484713824658e+001	(-2.26576383669871e-001dB,-1.68639504004101e+002°)
1.00507853949074e+001	(-2.26428928802204e-001dB,-1.68644234678333e+002°)
1.00530999402313e+001	(-2.26281548459017e-001dB,-1.68648964926709e+002°)
1.00554150185604e+001	(-2.26134242616617e-001dB,-1.68653694749364e+002°)
1.00577306300174e+001	(-2.25987011251719e-001dB,-1.68658424146432e+002°)
1.00600467747250e+001	(-2.25839854340504e-001dB,-1.68663153118050e+002°)
1.00623634528060e+001	(-2.25692771859933e-001dB,-1.68667881664350e+002°)
1.00646806643832e+001	(-2.25545763786131e-001dB,-1.68672609785470e+002°)
1.00669984095796e+001	(-2.25398830095750e-001dB,-1.68677337481543e+002°)
1.00693166885180e+001	(-2.25251970765399e-001dB,-1.68682064752705e+002°)
1.00716355013213e+001	(-2.25105185771499e-001dB,-1.68686791599091e+002°)
1.00739548481125e+001	(-2.24958475090835e-001dB,-1.68691518020836e+002°)
1.00762747290145e+001	(-2.24811838699816e-001dB,-1.68696244018075e+002°)
1.00785951441503e+001	(-2.24665276574810e-001dB,-1.68700969590944e+002°)
1.00809160936429e+001	(-2.24518788692767e-001dB,-1.68705694739578e+002°)
1.00832375776155e+001	(-2.24372375030103e-001dB,-1.68710419464111e+002°)
1.00855595961910e+001	(-2.24226035563456e-001dB,-1.68715143764681e+002°)
1.00878821494927e+001	(-2.24079770269386e-001dB,-1.68719867641422e+002°)
1.00902052376435e+001	(-2.23933579124699e-001dB,-1.68724591094469e+002°)
1.00925288607668e+001	(-2.23787462105711e-001dB,-1.68729314123958e+002°)
1.00948530189857e+001	(-2.23641419189311e-001dB,-1.68734036730025e+002°)
1.00971777124234e+001	(-2.23495450351999e-001dB,-1.68738758912805e+002°)
1.00995029412032e+001	(-2.23349555570622e-001dB,-1.68743480672434e+002°)
1.01018287054483e+001	(-2.23203734821662e-001dB,-1.68748202009047e+002°)
1.01041550052821e+001	(-2.23057988081934e-001dB,-1.68752922922780e+002°)
1.01064818408279e+001	(-2.22912315328027e-001dB,-1.68757643413769e+002°)
1.01088092122091e+001	(-2.22766716536608e-001dB,-1.68762363482150e+002°)
1.01111371195490e+001	(-2.22621191684469e-001dB,-1.68767083128058e+002°)
1.01134655629712e+001	(-2.22475740748402e-001dB,-1.68771802351630e+002°)
1.01157945425990e+001	(-2.22330363704944e-001dB,-1.68776521153000e+002°)
1.01181240585559e+001	(-2.22185060530877e-001dB,-1.68781239532307e+002°)
1.01204541109654e+001	(-2.22039831203061e-001dB,-1.68785957489684e+002°)
1.01227846999511e+001	(-2.21894675698117e-001dB,-1.68790675025268e+002°)
1.01251158256365e+001	(-2.21749593992737e-001dB,-1.68795392139196e+002°)
1.01274474881453e+001	(-2.21604586064005e-001dB,-1.68800108831604e+002°)
1.01297796876010e+001	(-2.21459651888523e-001dB,-1.68804825102626e+002°)
1.01321124241273e+001	(-2.21314791442894e-001dB,-1.68809540952401e+002°)
1.01344456978479e+001	(-2.21170004704168e-001dB,-1.68814256381063e+002°)
1.01367795088865e+001	(-2.21025291649118e-001dB,-1.68818971388750e+002°)
1.01391138573668e+001	(-2.20880652254440e-001dB,-1.68823685975597e+002°)
1.01414487434125e+001	(-2.20736086497105e-001dB,-1.68828400141741e+002°)
1.01437841671476e+001	(-2.20591594353826e-001dB,-1.68833113887319e+002°)
1.01461201286958e+001	(-2.20447175801419e-001dB,-1.68837827212466e+002°)
