Frequency (Hz),Trace 1: Impedance: Real (Ω),Trace 1: Impedance: Imaginary (Ω),Trace 1: Impedance: Magnitude (Ω),Trace 2: Impedance: Real (Ω),Trace 2: Impedance: Imaginary (Ω),Trace 2: Impedance: Phase (°)
10,12751.4400867554,-12283450.3874529,12283457.006081,12751.4400867554,-12283450.3874529,-89.9405213181806
10.191839,-15957.0868581638,-12256100.3366243,12256110.7244518,-15957.0868581638,-12256100.3366243,-90.0745973995465
10.387359,-473585.528524477,-12379680.8852752,12388736.0967161,-473585.528524477,-12379680.8852752,-92.1907856305133
10.58663,-1040621.46724593,-11856540.5174255,11902119.3944375,-1040621.46724593,-11856540.5174255,-95.0158666279926
10.789723,-289977.286732957,-11252320.549482,11256056.3509213,-289977.286732957,-11252320.549482,-91.4762108934092
10.996713,-474702.320825967,-11791821.2820149,11801372.438847,-474702.320825967,-11791821.2820149,-92.3053063949204
11.207673,-369165.585623562,-12324910.6884393,12330438.2204208,-369165.585623562,-12324910.6884393,-91.7156560722842
11.42268,-129185.704825717,-12538949.1243191,12539614.5909112,-129185.704825717,-12538949.1243191,-90.5902834209697
11.641812,-1270471.33806719,-12572001.0177244,12636032.0912268,-1270471.33806719,-12572001.0177244,-95.7704705033242
11.865148,-551103.460720587,-10962161.3526718,10976005.4913629,-551103.460720587,-10962161.3526718,-92.8780219508213
12.092769,-520728.863321068,-10457077.3563048,10470034.6410524,-520728.863321068,-10457077.3563048,-92.8507909491303
12.324756,-680293.486000331,-11216383.2334778,11236994.7969791,-680293.486000331,-11216383.2334778,-93.4708385711571
12.561193,-79836.603194093,-10763568.7800654,10763864.861954,-79836.603194093,-10763568.7800654,-90.4249721094241
12.802167,102551.160764217,-10750232.0299714,10750721.1590105,102551.160764217,-10750232.0299714,-89.4534471017385
13.047763,-927756.706889959,-10716099.3725557,10756185.1169301,-927756.706889959,-10716099.3725557,-94.9480996904386
13.29807,-497604.442051364,-10804338.7768835,10815791.5376739,-497604.442051364,-10804338.7768835,-92.6369500368031
13.55318,-399271.612978302,-10535840.0548304,10543402.8416778,-399271.612978302,-10535840.0548304,-92.1702717812526
13.813183,-319438.254904434,-10221581.6158441,10226571.8365471,-319438.254904434,-10221581.6158441,-91.7899880516146
14.078175,-458885.965153268,-10261084.6114674,10271340.4058432,-458885.965153268,-10261084.6114674,-92.5606184149303
14.34825,-416801.25141925,-9836368.66530606,9845195.3664211,-416801.25141925,-9836368.66530606,-92.4263705380121
14.623506,241160.50692009,-9770336.55675615,9773312.3772027,241160.50692009,-9770336.55675615,-88.5860595393662
14.904042,-284850.749750433,-9452223.92350499,9456515.05839828,-284850.749750433,-9452223.92350499,-91.7261342842213
15.189961,-459105.691708659,-9632334.75338954,9643269.7171403,-459105.691708659,-9632334.75338954,-92.7288219174882
15.481364,-624433.055239223,-8877243.49267314,8899177.97713266,-624433.055239223,-8877243.49267314,-94.0236078175137
15.778358,-188383.298364973,-9358482.43293413,9360378.28907783,-188383.298364973,-9358482.43293413,-91.153190219932
16.081049,505687.69349861,-8753665.83445063,8768260.12299956,505687.69349861,-8753665.83445063,-86.6937732255734
16.389547,-31733.7319921469,-8577939.97593821,8577998.67454787,-31733.7319921469,-8577939.97593821,-90.2119623851243
16.703963,-242988.591241379,-8092908.56016946,8096555.58980099,-242988.591241379,-8092908.56016946,-91.7197821166163
17.024411,-62591.2576609788,-8317633.0297802,8317868.53007585,-62591.2576609788,-8317633.0297802,-90.4311499671823
17.351007,-101162.059517982,-8331671.53345662,8332285.65903122,-101162.059517982,-8331671.53345662,-90.6956436324084
17.683867,11390.867166715,-8372925.02294923,8372932.77124474,11390.867166715,-8372925.02294923,-89.9220525432608
18.023114,169380.321312825,-7601422.63431953,7603309.5266991,169380.321312825,-7601422.63431953,-88.7235058112458
18.368868,423330.21051609,-7700411.46455547,7712038.97750737,423330.21051609,-7700411.46455547,-86.853331307449
18.721256,136760.382388702,-7610560.518224,7611789.19858801,136760.382388702,-7610560.518224,-88.970516109799
19.080403,-85723.9689300685,-7179761.98757845,7180273.72717263,-85723.9689300685,-7179761.98757845,-90.6840600368254
19.446441,310038.561456014,-7175767.7805571,7182462.47119128,310038.561456014,-7175767.7805571,-87.5259985884354
19.8195,98102.7763519378,-6890084.71465458,6890783.08538621,98102.7763519378,-6890084.71465458,-89.1842632585198
20.199717,398499.0362526,-6937811.62998061,6949246.8437226,398499.0362526,-6937811.62998061,-86.7126157044664
20.587227,194282.171671837,-6796011.43893663,6798787.90964883,194282.171671837,-6796011.43893663,-88.3624928211389
20.982171,94526.378981296,-6707220.96926994,6707887.02699574,94526.378981296,-6707220.96926994,-89.192571101388
21.384692,344518.993542711,-6769649.63914739,6778410.5492158,344518.993542711,-6769649.63914739,-87.0866336886156
21.794935,207188.188384689,-6626161.18694804,6629399.59731066,207188.188384689,-6626161.18694804,-88.2090471500199
22.213048,53290.6001970013,-6361754.50137416,6361977.69752643,53290.6001970013,-6361754.50137416,-89.5200608472527
22.639182,155218.308297026,-6314685.16021497,6316592.54629185,155218.308297026,-6314685.16021497,-88.5919229125041
23.073491,200914.966708165,-6113480.48206508,6116781.0512097,200914.966708165,-6113480.48206508,-88.1176945022797
23.516131,116046.508637722,-6205665.64311404,6206750.58837497,116046.508637722,-6205665.64311404,-88.928688607657
23.967263,129122.828789735,-6170365.15418146,6171716.03695856,129122.828789735,-6170365.15418146,-88.8011870749414
24.42705,101199.382585871,-6129669.55950656,6130504.89142429,101199.382585871,-6129669.55950656,-89.0541462760641
24.895657,7187.97800756721,-5852399.80512361,5852404.21929643,7187.97800756721,-5852399.80512361,-89.9296287660288
25.373254,146680.100335994,-5953412.91244945,5955219.5893984,146680.100335994,-5953412.91244945,-88.5886329563066
25.860014,76405.588201924,-5708500.36430979,5709011.66781375,76405.588201924,-5708500.36430979,-89.2331687715503
