Frequency (Hz),Trace 1: Impedance: Real (Ω),Trace 1: Impedance: Imaginary (Ω),Trace 1: Impedance: Cs (F),Trace 2: Impedance: Real (Ω),Trace 2: Impedance: Imaginary (Ω),Trace 2: Impedance: Phase (°)
10,5301292.11278558,-11639687.9391856,1.36734716534876E-09,5301292.11278558,-11639687.9391856,-65.5131229710627
10.191839,4680827.98998752,-12025667.6177515,1.29854911649917E-09,4680827.98998752,-12025667.6177515,-68.7321995140278
10.387359,3531429.26558396,-11277441.9763187,1.35863997537153E-09,3531429.26558396,-11277441.9763187,-72.6125232582261
10.58663,3960223.57367637,-11942550.5515015,1.2588248526772E-09,3960223.57367637,-11942550.5515015,-71.6541599883469
10.789723,4650283.68602074,-11625632.2520067,1.26880024917762E-09,4650283.68602074,-11625632.2520067,-68.1984597190224
10.996713,4492546.75835921,-12174498.4328609,1.18879279112614E-09,4492546.75835921,-12174498.4328609,-69.7452895356508
11.207673,3364051.85677513,-11756719.9887484,1.20786530221526E-09,3364051.85677513,-11756719.9887484,-74.0321279595793
11.42268,3888113.65050192,-11791295.6877984,1.18165471163898E-09,3888113.65050192,-11791295.6877984,-71.7503179769146
11.641812,4142680.34982284,-11358842.1606368,1.20355373557469E-09,4142680.34982284,-11358842.1606368,-69.9625948464848
11.865148,3312669.50271071,-10857263.6930651,1.23545401784471E-09,3312669.50271071,-10857263.6930651,-73.032480947426
12.092769,3961236.81824257,-10190992.2698837,1.29145090977261E-09,3961236.81824257,-10190992.2698837,-68.7589050695556
12.324756,4242389.9090853,-11209944.6018411,1.15196248285842E-09,4242389.9090853,-11209944.6018411,-69.2709124554424
12.561193,3450533.70499729,-10503362.025014,1.20631550058009E-09,3450533.70499729,-10503362.025014,-71.8137654469702
12.802167,3700274.36710254,-11072244.1012874,1.12279634893331E-09,3700274.36710254,-11072244.1012874,-71.5206961249106
13.047763,3233826.69280326,-10215522.7333406,1.19405265187972E-09,3233826.69280326,-10215522.7333406,-72.4342917823422
13.29807,3269690.0636784,-10514107.5839985,1.13830619750392E-09,3269690.0636784,-10514107.5839985,-72.7252870281603
13.55318,3592537.07784634,-10523610.3867045,1.11587144575677E-09,3592537.07784634,-10523610.3867045,-71.1511851530352
13.813183,4560111.48747675,-10098526.755325,1.14095455290717E-09,4560111.48747675,-10098526.755325,-65.6978706615716
14.078175,2877233.5342352,-9840941.23461684,1.14878070835806E-09,2877233.5342352,-9840941.23461684,-73.7024622686852
14.34825,2886320.49005789,-9618885.84820877,1.15317820526258E-09,2886320.49005789,-9618885.84820877,-73.2971778579227
14.623506,3372900.38675451,-9793627.53409113,1.11128394712265E-09,3372900.38675451,-9793627.53409113,-70.9964226520986
14.904042,3423407.33835787,-9596492.09392093,1.11276525314189E-09,3423407.33835787,-9596492.09392093,-70.366889151135
15.189961,2996668.28023748,-9246256.17810953,1.1331764777074E-09,2996668.28023748,-9246256.17810953,-72.0427336658811
15.481364,1769239.41815109,-9208536.91210982,1.11640115311902E-09,1769239.41815109,-9208536.91210982,-79.1242718698791
15.778358,2491867.13196015,-9030697.40103635,1.11695849554961E-09,2491867.13196015,-9030697.40103635,-74.5740638367058
16.081049,2918838.58594218,-8649145.74996509,1.14428061509549E-09,2918838.58594218,-8649145.74996509,-71.3519367468914
16.389547,2541839.96493873,-9190965.09079309,1.05655489162465E-09,2541839.96493873,-9190965.09079309,-74.5407620027275
16.703963,2705141.13649788,-8291549.53300941,1.14911875464557E-09,2705141.13649788,-8291549.53300941,-71.9309403466321
17.024411,2508096.03020111,-8472685.95084692,1.10338462271236E-09,2508096.03020111,-8472685.95084692,-73.5101209768176
17.351007,2103344.26987867,-7999773.14059155,1.14661541290091E-09,2103344.26987867,-7999773.14059155,-75.2688912833782
17.683867,2129552.32262953,-8005019.48906782,1.12429556658894E-09,2129552.32262953,-8005019.48906782,-75.1027985552489
18.023114,2659754.54899097,-7919665.97810079,1.11502200135719E-09,2659754.54899097,-7919665.97810079,-71.4357987036735
18.368868,2283780.0094129,-8179197.44683231,1.05931969327671E-09,2283780.0094129,-8179197.44683231,-74.3993043469569
18.721256,2134874.25803315,-7565562.07804003,1.12368336210182E-09,2134874.25803315,-7565562.07804003,-74.2418270315005
19.080403,2298232.49460907,-7644944.55384505,1.09108415379965E-09,2298232.49460907,-7644944.55384505,-73.26810740254
19.446441,2180756.11444151,-7655951.83945194,1.0690076387225E-09,2180756.11444151,-7655951.83945194,-74.1006862334453
19.8195,1969177.02240027,-7064503.34448325,1.13669984958882E-09,1969177.02240027,-7064503.34448325,-74.4245890265239
20.199717,1935261.53757341,-7341160.06606366,1.07327287415946E-09,1935261.53757341,-7341160.06606366,-75.2317881512264
20.587227,2002348.87969518,-7091828.45824886,1.09009426894853E-09,2002348.87969518,-7091828.45824886,-74.2331896707749
20.982171,2044783.92852136,-6814289.95523153,1.11313823423595E-09,2044783.92852136,-6814289.95523153,-73.2969224690074
21.384692,1379583.78890979,-6884528.53391084,1.08104289753165E-09,1379583.78890979,-6884528.53391084,-78.6686383006039
21.794935,2014930.20315185,-6594335.25966272,1.10737198016539E-09,2014930.20315185,-6594335.25966272,-73.0092209761755
22.213048,1869275.98080432,-6593427.75460151,1.08667762439726E-09,1869275.98080432,-6593427.75460151,-74.1716513721724
22.639182,1597744.93751046,-6392455.42949692,1.09974423021941E-09,1597744.93751046,-6392455.42949692,-75.9668687064423
23.073491,1447642.37816886,-6245049.71372713,1.10451323395882E-09,1447642.37816886,-6245049.71372713,-76.9489762719608
23.516131,1350765.46389204,-6354862.91627653,1.06499623928479E-09,1350765.46389204,-6354862.91627653,-78.0000202500655
23.967263,1581659.45898982,-6514409.56226549,1.01935775396664E-09,1581659.45898982,-6514409.56226549,-76.3529980400243
