Frequency (Hz),Trace 1: Impedance: Real (Ω),Trace 1: Impedance: Imaginary (Ω),Trace 1: Impedance: Cs (F),Trace 2: Impedance: Real (Ω),Trace 2: Impedance: Imaginary (Ω),Trace 2: Impedance: Phase (°)
10,669290.685757909,-11513983.8010548,1.38227520415058E-09,669290.685757909,-11513983.8010548,-86.6732254922861
10.191839,520289.827259911,-13757202.6402329,1.13510867497693E-09,520289.827259911,-13757202.6402329,-87.8341373989782
10.387359,547809.761714122,-13762979.0038006,1.11327522077367E-09,547809.761714122,-13762979.0038006,-87.7206513513813
10.58663,1000468.23804846,-13175757.04344,1.14100308536494E-09,1000468.23804846,-13175757.04344,-85.6577206330665
10.789723,535228.945736208,-13273297.6417254,1.1112992035848E-09,535228.945736208,-13273297.6417254,-87.6908711396555
10.996713,129166.409420628,-12453498.731662,1.16215983029454E-09,129166.409420628,-12453498.731662,-89.4057553694955
11.207673,1680829.77411865,-12677391.787498,1.12014635031426E-09,1680829.77411865,-12677391.787498,-82.4474980064844
11.42268,1160765.14582735,-12688159.879579,1.09812929834217E-09,1160765.14582735,-12688159.879579,-84.7728960835373
11.641812,1530841.62335567,-12826392.6593769,1.06584737246784E-09,1530841.62335567,-12826392.6593769,-83.1938916351017
11.865148,558369.154239566,-12393413.7223874,1.08232084822331E-09,558369.154239566,-12393413.7223874,-87.4203575636214
12.092769,264834.982618808,-12074710.2609936,1.08997780931796E-09,264834.982618808,-12074710.2609936,-88.7435314001771
12.324756,811652.187911805,-11430784.2749263,1.12970687799333E-09,811652.187911805,-11430784.2749263,-85.9384829751797
12.561193,619840.591459068,-11074342.3915298,1.14411925972864E-09,619840.591459068,-11074342.3915298,-86.7964478123409
12.802167,432562.82271635,-11398887.7390906,1.09062178135072E-09,432562.82271635,-11398887.7390906,-87.8267934275546
13.047763,1049681.27902982,-11123558.1014795,1.09658005997744E-09,1049681.27902982,-11123558.1014795,-84.6092127524465
13.29807,782079.955100583,-11284832.2102719,1.06056285118661E-09,782079.955100583,-11284832.2102719,-86.0355328876617
13.55318,1394276.40574733,-11493215.094804,1.02173293024872E-09,1394276.40574733,-11493215.094804,-83.0830766976258
13.813183,380318.314091156,-11107637.6152982,1.03730068248482E-09,380318.314091156,-11107637.6152982,-88.0389957150966
14.078175,1201073.59769014,-10651886.405136,1.06132219331237E-09,1201073.59769014,-10651886.405136,-83.5666788531577
14.34825,781348.861848805,-9846346.61442283,1.12653859887637E-09,781348.861848805,-9846346.61442283,-85.4628474915414
14.623506,694723.928197847,-10237797.7976153,1.06307052335698E-09,694723.928197847,-10237797.7976153,-86.1179327504091
14.904042,853126.161749161,-10026008.5338211,1.06509414171586E-09,853126.161749161,-10026008.5338211,-85.1363431893453
15.189961,287762.174655447,-9662378.1029413,1.08437487089239E-09,287762.174655447,-9662378.1029413,-88.294137739272
15.481364,534855.728951086,-9811674.19829108,1.04777441845847E-09,534855.728951086,-9811674.19829108,-86.8797704995082
15.778358,1222166.79675815,-9640627.23330348,1.04629231467224E-09,1222166.79675815,-9640627.23330348,-82.7750089770962
16.081049,1277489.01504087,-9841819.86813441,1.00561176199384E-09,1277489.01504087,-9841819.86813441,-82.604237811846
16.389547,14059.0536226355,-9177807.73876341,1.05806957411131E-09,14059.0536226355,-9177807.73876341,-89.912231348773
16.703963,1150979.14465247,-9001656.57122129,1.05846907156125E-09,1150979.14465247,-9001656.57122129,-82.7135247432971
17.024411,1026865.60312665,-9232150.37813647,1.01261688862596E-09,1026865.60312665,-9232150.37813647,-83.653241932118
17.351007,688507.615668008,-8796900.33303926,1.04271536966975E-09,688507.615668008,-8796900.33303926,-85.524750387977
17.683867,716307.399108658,-8645845.10014361,1.04096335497238E-09,716307.399108658,-8645845.10014361,-85.2638670907509
18.023114,516552.78661555,-8475866.92783632,1.04185234196882E-09,516552.78661555,-8475866.92783632,-86.5124825078992
18.368868,122236.397691013,-8289145.29385208,1.04526879714055E-09,122236.397691013,-8289145.29385208,-89.1551454539395
18.721256,356811.633328898,-8261310.18633898,1.02904939292801E-09,356811.633328898,-8261310.18633898,-87.5268931652851
