Frequency,Magnitude,Phase
1.00000000000000e+00,-3.83602112066253e+01,8.83607387448059e+01
1.00023028502082e+00,-3.83582117188799e+01,8.83607481827007e+01
1.00046062307284e+00,-3.83562122308854e+01,8.83607575337126e+01
1.00069101416826e+00,-3.83542127426421e+01,8.83607667978420e+01
1.00092145831930e+00,-3.83522132541500e+01,8.83607759750883e+01
1.00115195553817e+00,-3.83502137654093e+01,8.83607850654529e+01
1.00138250583710e+00,-3.83482142764200e+01,8.83607940689365e+01
1.00161310922831e+00,-3.83462147871823e+01,8.83608029855391e+01
1.00184376572403e+00,-3.83442152976963e+01,8.83608118152609e+01
1.00207447533648e+00,-3.83422158079620e+01,8.83608205581031e+01
1.00230523807790e+00,-3.83402163179796e+01,8.83608292140655e+01
1.00253605396052e+00,-3.83382168277492e+01,8.83608377831482e+01
1.00276692299659e+00,-3.83362173372709e+01,8.83608462653528e+01
1.00299784519833e+00,-3.83342178465448e+01,8.83608546606787e+01
1.00322882057800e+00,-3.83322183555711e+01,8.83608629691263e+01
1.00345984914784e+00,-3.83302188643497e+01,8.83608711906969e+01
1.00369093092010e+00,-3.83282193728809e+01,8.83608793253900e+01
1.00392206590702e+00,-3.83262198811647e+01,8.83608873732063e+01
1.00415325412088e+00,-3.83242203892014e+01,8.83608953341462e+01
1.00438449557391e+00,-3.83222208969907e+01,8.83609032082110e+01
1.00461579027839e+00,-3.83202214045332e+01,8.83609109953987e+01
1.00484713824658e+00,-3.83182219118287e+01,8.83609186957120e+01
1.00507853949073e+00,-3.83162224188772e+01,8.83609263091505e+01
1.00530999402313e+00,-3.83142229256792e+01,8.83609338357145e+01
1.00554150185604e+00,-3.83122234322345e+01,8.83609412754041e+01
1.00577306300174e+00,-3.83102239385433e+01,8.83609486282206e+01
1.00600467747249e+00,-3.83082244446057e+01,8.83609558941625e+01
1.00623634528060e+00,-3.83062249504219e+01,8.83609630732320e+01
1.00646806643832e+00,-3.83042254559918e+01,8.83609701654284e+01
1.00669984095796e+00,-3.83022259613157e+01,8.83609771707534e+01
1.00693166885180e+00,-3.83002264663937e+01,8.83609840892055e+01
1.00716355013213e+00,-3.82982269712257e+01,8.83609909207863e+01
1.00739548481125e+00,-3.82962274758120e+01,8.83609976654950e+01
1.00762747290145e+00,-3.82942279801527e+01,8.83610043233338e+01
1.00785951441503e+00,-3.82922284842478e+01,8.83610108943011e+01
1.00809160936429e+00,-3.82902289880975e+01,8.83610173783981e+01
1.00832375776155e+00,-3.82882294917019e+01,8.83610237756250e+01
1.00855595961910e+00,-3.82862299950611e+01,8.83610300859825e+01
1.00878821494927e+00,-3.82842304981752e+01,8.83610363094698e+01
1.00902052376435e+00,-3.82822310010443e+01,8.83610424460879e+01
1.00925288607668e+00,-3.82802315036684e+01,8.83610484958373e+01
1.00948530189857e+00,-3.82782320060478e+01,8.83610544587182e+01
1.00971777124234e+00,-3.82762325081824e+01,8.83610603347306e+01
1.00995029412032e+00,-3.82742330100724e+01,8.83610661238754e+01
1.01018287054483e+00,-3.82722335117182e+01,8.83610718261514e+01
1.01041550052821e+00,-3.82702340131194e+01,8.83610774415603e+01
1.01064818408279e+00,-3.82682345142765e+01,8.83610829701021e+01
1.01088092122091e+00,-3.82662350151893e+01,8.83610884117765e+01
1.01111371195490e+00,-3.82642355158581e+01,8.83610937665844e+01
1.01134655629712e+00,-3.82622360162830e+01,8.83610990345259e+01
1.01157945425989e+00,-3.82602365164640e+01,8.83611042156014e+01
1.01181240585558e+00,-3.82582370164013e+01,8.83611093098102e+01
1.01204541109654e+00,-3.82562375160950e+01,8.83611143171531e+01
1.01227846999511e+00,-3.82542380155453e+01,8.83611192376311e+01
1.01251158256365e+00,-3.82522385147520e+01,8.83611240712433e+01
1.01274474881453e+00,-3.82502390137155e+01,8.83611288179903e+01
