Frequency,Magnitude,Phase
1.00000000000000e+00,-8.99490476581852e+00,-1.11517496650538e+02
1.00023028502082e+00,-8.99314314291440e+00,-1.11521690696979e+02
1.00046062307284e+00,-8.99138161630846e+00,-1.11525885564516e+02
1.00069101416826e+00,-8.98962018603507e+00,-1.11530081253182e+02
1.00092145831930e+00,-8.98785885212805e+00,-1.11534277763011e+02
1.00115195553817e+00,-8.98609761462130e+00,-1.11538475094034e+02
1.00138250583710e+00,-8.98433647354914e+00,-1.11542673246283e+02
1.00161310922831e+00,-8.98257542894522e+00,-1.11546872219792e+02
1.00184376572403e+00,-8.98081448084421e+00,-1.11551072014592e+02
1.00207447533648e+00,-8.97905362927969e+00,-1.11555272630716e+02
1.00230523807790e+00,-8.97729287428566e+00,-1.11559474068197e+02
1.00253605396052e+00,-8.97553221589652e+00,-1.11563676327067e+02
1.00276692299659e+00,-8.97377165414600e+00,-1.11567879407357e+02
1.00299784519833e+00,-8.97201118906846e+00,-1.11572083309100e+02
1.00322882057800e+00,-8.97025082069785e+00,-1.11576288032328e+02
1.00345984914784e+00,-8.96849054906832e+00,-1.11580493577073e+02
1.00369093092010e+00,-8.96673037421415e+00,-1.11584699943367e+02
1.00392206590702e+00,-8.96497029616921e+00,-1.11588907131242e+02
1.00415325412088e+00,-8.96321031496750e+00,-1.11593115140730e+02
1.00438449557391e+00,-8.96145043064366e+00,-1.11597323971861e+02
1.00461579027839e+00,-8.95969064323145e+00,-1.11601533624669e+02
1.00484713824658e+00,-8.95793095276507e+00,-1.11605744099185e+02
1.00507853949073e+00,-8.95617135927849e+00,-1.11609955395440e+02
1.00530999402313e+00,-8.95441186280636e+00,-1.11614167513466e+02
1.00554150185604e+00,-8.95265246338242e+00,-1.11618380453295e+02
1.00577306300174e+00,-8.95089316104096e+00,-1.11622594214957e+02
1.00600467747249e+00,-8.94913395581631e+00,-1.11626808798485e+02
1.00623634528060e+00,-8.94737484774267e+00,-1.11631024203910e+02
1.00646806643832e+00,-8.94561583685403e+00,-1.11635240431262e+02
1.00669984095796e+00,-8.94385692318460e+00,-1.11639457480573e+02
1.00693166885180e+00,-8.94209810676873e+00,-1.11643675351875e+02
1.00716355013213e+00,-8.94033938764052e+00,-1.11647894045197e+02
1.00739548481125e+00,-8.93858076583447e+00,-1.11652113560573e+02
1.00762747290145e+00,-8.93682224138444e+00,-1.11656333898031e+02
1.00785951441503e+00,-8.93506381432489e+00,-1.11660555057603e+02
1.00809160936429e+00,-8.93330548469006e+00,-1.11664777039322e+02
1.00832375776155e+00,-8.93154725251435e+00,-1.11668999843215e+02
1.00855595961910e+00,-8.92978911783169e+00,-1.11673223469315e+02
1.00878821494927e+00,-8.92803108067664e+00,-1.11677447917653e+02
1.00902052376435e+00,-8.92627314108334e+00,-1.11681673188259e+02
1.00925288607668e+00,-8.92451529908602e+00,-1.11685899281163e+02
1.00948530189857e+00,-8.92275755471918e+00,-1.11690126196396e+02
1.00971777124234e+00,-8.92099990801686e+00,-1.11694353933989e+02
