Frequency,Magnitude,Phase
1.00000000000000e+00,-2.71107656208267e+01,8.67722191062676e+01
1.00230523807790e+00,-2.70908011973798e+01,8.67665413377266e+01
1.00461579027839e+00,-2.70708369297419e+01,8.67608464813637e+01
1.00693166885180e+00,-2.70508728186672e+01,8.67551345073708e+01
1.00925288607668e+00,-2.70309088649132e+01,8.67494053858460e+01
1.01157945425990e+00,-2.70109450692406e+01,8.67436590868022e+01
1.01391138573668e+00,-2.69909814324139e+01,8.67378955801618e+01
1.01624869287070e+00,-2.69710179552002e+01,8.67321148357627e+01
1.01859138805412e+00,-2.69510546383707e+01,8.67263168233482e+01
1.02093948370768e+00,-2.69310914826995e+01,8.67205015125754e+01
1.02329299228075e+00,-2.69111284889642e+01,8.67146688730156e+01
1.02565192625141e+00,-2.68911656579457e+01,8.67088188741464e+01
1.02801629812647e+00,-2.68712029904286e+01,8.67029514853584e+01
1.03038612044162e+00,-2.68512404872007e+01,8.66970666759523e+01
1.03276140576140e+00,-2.68312781490532e+01,8.66911644151411e+01
1.03514216667934e+00,-2.68113159767812e+01,8.66852446720430e+01
1.03752841581801e+00,-2.67913539711827e+01,8.66793074156922e+01
1.03992016582906e+00,-2.67713921330591e+01,8.66733526150314e+01
1.04231742939330e+00,-2.67514304632165e+01,8.66673802389107e+01
1.04472021922080e+00,-2.67314689624629e+01,8.66613902560935e+01
1.04712854805090e+00,-2.67115076316109e+01,8.66553826352482e+01
1.04954242865232e+00,-2.66915464714766e+01,8.66493573449580e+01
1.05196187382322e+00,-2.66715854828792e+01,8.66433143537135e+01
1.05438689639126e+00,-2.66516246666421e+01,8.66372536299116e+01
1.05681750921366e+00,-2.66316640235918e+01,8.66311751418609e+01
1.05925372517729e+00,-2.66117035545587e+01,8.66250788577804e+01
1.06169555719872e+00,-2.65917432603766e+01,8.66189647457946e+01
1.06414301822431e+00,-2.65717831418836e+01,8.66128327739371e+01
1.06659612123026e+00,-2.65518231999206e+01,8.66066829101525e+01
1.06905487922266e+00,-2.65318634353326e+01,8.66005151222920e+01
