Frequency,Magnitue,Phase
1.00000000000000e+00,-2.78893746757269e+01,8.31788659489297e+01
1.00023028502082e+00,-2.78873901526482e+01,8.31776654587895e+01
1.00046062307284e+00,-2.78854056358446e+01,8.31764646191966e+01
1.00069101416826e+00,-2.78834211253185e+01,8.31752634300942e+01
1.00092145831930e+00,-2.78814366210728e+01,8.31740618914259e+01
1.00115195553817e+00,-2.78794521231099e+01,8.31728600031349e+01
1.00138250583710e+00,-2.78774676314326e+01,8.31716577651648e+01
1.00161310922831e+00,-2.78754831460434e+01,8.31704551774587e+01
1.00184376572403e+00,-2.78734986669451e+01,8.31692522399602e+01
1.00207447533648e+00,-2.78715141941402e+01,8.31680489526123e+01
1.00230523807790e+00,-2.78695297276315e+01,8.31668453153586e+01
1.00253605396052e+00,-2.78675452674214e+01,8.31656413281422e+01
1.00276692299659e+00,-2.78655608135128e+01,8.31644369909065e+01
1.00299784519833e+00,-2.78635763659081e+01,8.31632323035946e+01
1.00322882057800e+00,-2.78615919246101e+01,8.31620272661499e+01
1.00345984914784e+00,-2.78596074896214e+01,8.31608218785156e+01
1.00369093092010e+00,-2.78576230609447e+01,8.31596161406349e+01
1.00392206590702e+00,-2.78556386385826e+01,8.31584100524509e+01
1.00415325412088e+00,-2.78536542225377e+01,8.31572036139070e+01
1.00438449557391e+00,-2.78516698128127e+01,8.31559968249461e+01
1.00461579027839e+00,-2.78496854094102e+01,8.31547896855116e+01
1.00484713824658e+00,-2.78477010123330e+01,8.31535821955465e+01
1.00507853949073e+00,-2.78457166215835e+01,8.31523743549940e+01
1.00530999402313e+00,-2.78437322371646e+01,8.31511661637971e+01
1.00554150185604e+00,-2.78417478590788e+01,8.31499576218990e+01
1.00577306300174e+00,-2.78397634873288e+01,8.31487487292427e+01
1.00600467747249e+00,-2.78377791219172e+01,8.31475394857714e+01
1.00623634528060e+00,-2.78357947628468e+01,8.31463298914280e+01
1.00646806643832e+00,-2.78338104101200e+01,8.31451199461556e+01
1.00669984095796e+00,-2.78318260637397e+01,8.31439096498973e+01
1.00693166885180e+00,-2.78298417237085e+01,8.31426990025959e+01
1.00716355013213e+00,-2.78278573900290e+01,8.31414880041945e+01
1.00739548481125e+00,-2.78258730627038e+01,8.31402766546362e+01
1.00762747290145e+00,-2.78238887417358e+01,8.31390649538638e+01
1.00785951441503e+00,-2.78219044271274e+01,8.31378529018202e+01
1.00809160936429e+00,-2.78199201188814e+01,8.31366404984485e+01
1.00832375776155e+00,-2.78179358170004e+01,8.31354277436915e+01
1.00855595961910e+00,-2.78159515214871e+01,8.31342146374922e+01
1.00878821494927e+00,-2.78139672323441e+01,8.31330011797933e+01
