Freq.	V(n003)
1.00000000000000e+00	2.48320966732025e-03,4.40323839087541e-02
1.00230523807790e+00	2.49329731331481e-03,4.41334614105997e-02
1.00461579027839e+00	2.50343135928829e-03,4.42347689626450e-02
1.00693166885180e+00	2.51361201791073e-03,4.43363070747864e-02
1.00925288607668e+00	2.52383950282444e-03,4.44380762579562e-02
1.01157945425990e+00	2.53411402864174e-03,4.45400770241230e-02
1.01391138573668e+00	2.54443581095258e-03,4.46423098862909e-02
1.01624869287070e+00	2.55480506632529e-03,4.47447753585061e-02
1.01859138805412e+00	2.56522201231772e-03,4.48474739558519e-02
1.02093948370768e+00	2.57568686747562e-03,4.49504061944554e-02
1.02329299228075e+00	2.58619985133642e-03,4.50535725914870e-02
1.02565192625141e+00	2.59676118443970e-03,4.51569736651612e-02
1.02801629812647e+00	2.60737108832639e-03,4.52606099347379e-02
1.03038612044162e+00	2.61802978554551e-03,4.53644819205257e-02
1.03276140576140e+00	2.62873749965655e-03,4.54685901438817e-02
1.03514216667934e+00	2.63949445523988e-03,4.55729351272117e-02
1.03752841581801e+00	2.65030087789229e-03,4.56775173939744e-02
1.03992016582906e+00	2.66115699423780e-03,4.57823374686840e-02
1.04231742939330e+00	2.67206303193232e-03,4.58873958769017e-02
1.04472021922080e+00	2.68301921966440e-03,4.59926931452532e-02
1.04712854805090e+00	2.69402578716548e-03,4.60982298014154e-02
1.04954242865232e+00	2.70508296520711e-03,4.62040063741249e-02
1.05196187382322e+00	2.71619098561136e-03,4.63100233931795e-02
1.05438689639126e+00	2.72735008125592e-03,4.64162813894356e-02
1.05681750921366e+00	2.73856048607508e-03,4.65227808948144e-02
1.05925372517729e+00	2.74982243506451e-03,4.66295224423004e-02
1.06169555719872e+00	2.76113616429062e-03,4.67365065659432e-02
1.06414301822431e+00	2.77250191089168e-03,4.68437338008566e-02
1.06659612123026e+00	2.78391991308150e-03,4.69512046832263e-02
1.06905487922266e+00	2.79539041015748e-03,4.70589197503062e-02
1.07151930523761e+00	2.80691364250443e-03,4.71668795404161e-02
1.07398941234124e+00	2.81848985159848e-03,4.72750845929528e-02
