Frequency (Hz),Trace 1: Impedance: Real (Ω),Trace 1: Impedance: Imaginary (Ω),Trace 1: Impedance: Cs (F),Trace 2: Impedance: Real (Ω),Trace 2: Impedance: Imaginary (Ω),Trace 2: Impedance: Phase (°)
10,4592392.03608363,-12260105.8910595,1.29815308698073E-09,4592392.03608363,-12260105.8910595,-69.4650486577444
10.191839,4515606.58309246,-11573672.5140254,1.34926230558364E-09,4515606.58309246,-11573672.5140254,-68.6861630211439
10.387359,5532338.47257404,-12424969.2465367,1.23316067709627E-09,5532338.47257404,-12424969.2465367,-65.9985154716642
10.58663,3559560.39800676,-12034966.6199624,1.24915838267866E-09,3559560.39800676,-12034966.6199624,-73.52345839536
10.789723,4646365.66529403,-11228172.8141535,1.31371375755812E-09,4646365.66529403,-11228172.8141535,-67.519584487157
10.996713,4419678.35211301,-11600749.0516456,1.2475880572995E-09,4419678.35211301,-11600749.0516456,-69.1440523360555
11.207673,4611550.5872348,-11969396.8194846,1.18640348853279E-09,4611550.5872348,-11969396.8194846,-68.9294014873149
11.42268,4947525.45927834,-11385943.1280589,1.22372296691691E-09,4947525.45927834,-11385943.1280589,-66.513643431999
11.641812,4721007.81716981,-10727750.8116405,1.27435630769905E-09,4721007.81716981,-10727750.8116405,-66.2469372825699
11.865148,4047285.32203501,-10798094.3670468,1.24222382176359E-09,4047285.32203501,-10798094.3670468,-69.4532595005123
12.092769,4176168.58622811,-10656259.4590144,1.23506435715522E-09,4176168.58622811,-10656259.4590144,-68.599878024356
12.324756,3605462.13189892,-10220691.1522957,1.26346011476354E-09,3605462.13189892,-10220691.1522957,-70.5691410439834
12.561193,4634451.24921407,-10512393.7847999,1.20527909041031E-09,4634451.24921407,-10512393.7847999,-66.2094311922068
12.802167,3034027.44347606,-10186094.4106477,1.22047516449765E-09,3034027.44347606,-10186094.4106477,-73.4133245044819
13.047763,3667788.13932557,-10243603.7132663,1.19077937330645E-09,3667788.13932557,-10243603.7132663,-70.2997669458984
13.29807,3983460.33382952,-10451983.3151872,1.14507203687342E-09,3983460.33382952,-10451983.3151872,-69.1371535203944
13.55318,3098581.32580487,-9768684.33065327,1.20210623450534E-09,3098581.32580487,-9768684.33065327,-72.401214368335
13.813183,3037365.49279572,-10285016.8361006,1.12026652583597E-09,3037365.49279572,-10285016.8361006,-73.5471045256046
14.078175,3971407.74583326,-9970396.24195711,1.13386501078458E-09,3971407.74583326,-9970396.24195711,-68.2816210558442
14.34825,3547100.53870721,-9399264.7589218,1.18012310574975E-09,3547100.53870721,-9399264.7589218,-69.3244644284969
14.623506,2679895.2091212,-9256586.8675998,1.17575745989363E-09,2679895.2091212,-9256586.8675998,-73.853622895901
14.904042,2406807.65609044,-9397917.33863632,1.13627759953415E-09,2406807.65609044,-9397917.33863632,-75.6352805375786
15.189961,2900640.7656165,-9885168.83516478,1.05993536201608E-09,2900640.7656165,-9885168.83516478,-73.6465384209243
15.481364,3392428.64995094,-9725361.97162664,1.0570733775474E-09,3392428.64995094,-9725361.97162664,-70.7700602091597
15.778358,2530458.3148838,-8963909.66192497,1.12528066025369E-09,2530458.3148838,-8963909.66192497,-74.2359428612894
16.081049,3094634.61235933,-9018960.14261686,1.09736041210056E-09,3094634.61235933,-9018960.14261686,-71.0616016887629
16.389547,2756660.85113944,-8961342.44356151,1.08362772504088E-09,2756660.85113944,-8961342.44356151,-72.9012152502627
16.703963,2595067.74608612,-8304077.24733177,1.1473851687152E-09,2595067.74608612,-8304077.24733177,-72.6457012609614
17.024411,2776103.95696419,-8387536.56682628,1.11458606668977E-09,2776103.95696419,-8387536.56682628,-71.686507020709
17.351007,2721789.26292126,-7991398.94266411,1.14781695276686E-09,2721789.26292126,-7991398.94266411,-71.1916789585378
17.683867,2379367.42349342,-8513549.45768477,1.05713932440871E-09,2379367.42349342,-8513549.45768477,-74.385381181289
18.023114,2349842.62986231,-7726313.59099828,1.14292562746491E-09,2349842.62986231,-7726313.59099828,-73.0836462145263
18.368868,2466186.80616878,-7610080.98679031,1.13854043677956E-09,2466186.80616878,-7610080.98679031,-72.0441287985893
18.721256,2297825.7424239,-7109109.96003045,1.19583130375517E-09,2297825.7424239,-7109109.96003045,-72.0879896349641
19.080403,2394363.86831577,-7601383.07186415,1.09733686363627E-09,2394363.86831577,-7601383.07186415,-72.5160650165639
19.446441,2378872.92350467,-7004530.37362131,1.16842537065543E-09,2378872.92350467,-7004530.37362131,-71.2415270191661
