Frequency (Hz),Trace 1: Impedance: Real (Ω),Trace 1: Impedance: Imaginary (Ω),Trace 1: Impedance: Rs (Ω),Trace 2: Impedance: Real (Ω),Trace 2: Impedance: Imaginary (Ω),Trace 2: Impedance: Phase (°)
10,-795143.855581089,-13654770.8659639,-795143.855581089,-795143.855581089,-13654770.8659639,-93.3326810423913
10.191839,110963.1103236,-12924384.7567625,110963.1103236,110963.1103236,-12924384.7567625,-89.5080956024884
10.387359,-842210.705335292,-13193378.3884283,-842210.705335292,-842210.705335292,-13193378.3884283,-93.6525695267235
10.58663,1094536.48483431,-12583391.6193145,1094536.48483431,1094536.48483431,-12583391.6193145,-85.0287746649328
10.789723,46832.4599467575,-13196102.186835,46832.4599467575,46832.4599467575,-13196102.186835,-89.7966603322901
10.996713,-591469.870251477,-13053798.4522971,-591469.870251477,-591469.870251477,-13053798.4522971,-92.5943072895346
11.207673,425694.301518187,-12941016.2439902,425694.301518187,425694.301518187,-12941016.2439902,-88.1159365995108
11.42268,201595.538761728,-12165010.3458032,201595.538761728,201595.538761728,-12165010.3458032,-89.0505954343946
11.641812,789542.733234678,-12375364.2397127,789542.733234678,789542.733234678,-12375364.2397127,-86.3495023655446
11.865148,1810155.43195476,-12744739.3135437,1810155.43195476,1810155.43195476,-12744739.3135437,-81.916258365834
12.092769,-99263.9424094788,-12185517.3962002,-99263.9424094788,-99263.9424094788,-12185517.3962002,-90.466724471014
12.324756,1251623.08315463,-12031820.4412318,1251623.08315463,1251623.08315463,-12031820.4412318,-84.061105773314
12.561193,-70401.8882978257,-11286582.6466464,-70401.8882978257,-70401.8882978257,-11286582.6466464,-90.3573870746659
12.802167,962914.921951381,-12541164.5145714,962914.921951381,962914.921951381,-12541164.5145714,-85.6094246384531
13.047763,1833145.87335754,-11026049.0682562,1833145.87335754,1833145.87335754,-11026049.0682562,-80.5605776066308
13.29807,499487.108616725,-11195163.696149,499487.108616725,499487.108616725,-11195163.696149,-87.4453668407137
13.55318,347938.358919974,-10948911.2863748,347938.358919974,347938.358919974,-10948911.2863748,-88.1798470770091
13.813183,493359.402838342,-10903810.1283515,493359.402838342,493359.402838342,-10903810.1283515,-87.4093326306657
14.078175,-255379.285363439,-10164835.7825081,-255379.285363439,-255379.285363439,-10164835.7825081,-91.4391848598217
14.34825,63140.3535264943,-10356840.3160894,63140.3535264943,63140.3535264943,-10356840.3160894,-89.6507012906412
14.623506,797526.963342525,-10251841.8763728,797526.963342525,797526.963342525,-10251841.8763728,-85.551718071117
14.904042,276788.924481214,-9580779.3701476,276788.924481214,276788.924481214,-9580779.3701476,-88.3451839689081
15.189961,279496.088505717,-9714773.22223263,279496.088505717,279496.088505717,-9714773.22223263,-88.3520428416872
15.481364,948140.080224369,-9889942.50260731,948140.080224369,948140.080224369,-9889942.50260731,-84.5238400660996
15.778358,182095.447153509,-9365239.57319864,182095.447153509,182095.447153509,-9365239.57319864,-88.8860951176364
16.081049,387504.849197295,-9107502.19694213,387504.849197295,387504.849197295,-9107502.19694213,-87.5636559145464
16.389547,541103.773433305,-9532501.58637606,541103.773433305,541103.773433305,-9532501.58637606,-86.7511436961155
16.703963,609408.817139493,-8713604.65742234,609408.817139493,609408.817139493,-8713604.65742234,-85.9993834581721
17.024411,592460.18771437,-8743340.64892634,592460.18771437,592460.18771437,-8743340.64892634,-86.1234889842705
17.351007,990502.408164235,-8547134.28489466,990502.408164235,990502.408164235,-8547134.28489466,-83.3896462968963
17.683867,263855.32520476,-8137751.04629364,263855.32520476,263855.32520476,-8137751.04629364,-88.1429141718361
18.023114,554842.526289909,-8270139.06357759,554842.526289909,554842.526289909,-8270139.06357759,-86.1617855669629
18.368868,622176.684032714,-8304642.14422346,622176.684032714,622176.684032714,-8304642.14422346,-85.7154534702216
18.721256,655201.048346564,-7791627.20927632,655201.048346564,655201.048346564,-7791627.20927632,-85.1932834436367
19.080403,759659.330563771,-8236259.26276684,759659.330563771,759659.330563771,-8236259.26276684,-84.7303169115433
19.446441,468186.140339852,-7599384.51314438,468186.140339852,468186.140339852,-7599384.51314438,-86.4745529307216
19.8195,689577.688825448,-7476109.2150246,689577.688825448,689577.688825448,-7476109.2150246,-84.7300913180883
20.199717,944950.733305819,-7347685.3892608,944950.733305819,944950.733305819,-7347685.3892608,-82.6716884399438
20.587227,579674.553371989,-7394795.29179587,579674.553371989,579674.553371989,-7394795.29179587,-85.5177765420504
20.982171,416801.013231918,-7274239.63064659,416801.013231918,416801.013231918,-7274239.63064659,-86.7206392515765
21.384692,719809.611716571,-6896045.0813694,719809.611716571,719809.611716571,-6896045.0813694,-84.041041815558
21.794935,544976.487159354,-7091044.72125986,544976.487159354,544976.487159354,-7091044.72125986,-85.6052184679267
22.213048,707858.4342792,-6856230.65600374,707858.4342792,707858.4342792,-6856230.65600374,-84.1054909723473
22.639182,488294.190507962,-7013750.82056784,488294.190507962,488294.190507962,-7013750.82056784,-86.0175194037674
23.073491,404174.688293,-6811807.55909454,404174.688293,404174.688293,-6811807.55909454,-86.6043689603551
23.516131,272492.119004906,-6444458.20617657,272492.119004906,272492.119004906,-6444458.20617657,-87.5787950832472
23.967263,469496.067445657,-6315041.14018645,469496.067445657,469496.067445657,-6315041.14018645,-85.7481282015237
24.42705,71277.9504934609,-6301879.28577875,71277.9504934609,71277.9504934609,-6301879.28577875,-89.3519787649922
24.895657,288911.247974563,-6302672.41545574,288911.247974563,288911.247974563,-6302672.41545574,-87.3754283344039
25.373254,428100.285798075,-6224139.33548755,428100.285798075,428100.285798075,-6224139.33548755,-86.0653564578954
25.860014,382529.141387295,-6063899.48835596,382529.141387295,382529.141387295,-6063899.48835596,-86.3903917718378
26.356111,257663.248419078,-5786567.21898707,257663.248419078,257663.248419078,-5786567.21898707,-87.4504277421579
26.861725,531835.925409431,-5471071.66073724,531835.925409431,531835.925409431,-5471071.66073724,-84.4477948024229
27.377039,371191.176446709,-5625939.61203982,371191.176446709,371191.176446709,-5625939.61203982,-86.2251803190794
27.902239,309045.259362444,-5604597.22641899,309045.259362444,309045.259362444,-5604597.22641899,-86.8438275697802
28.437514,350621.386438667,-5527015.15878136,350621.386438667,350621.386438667,-5527015.15878136,-86.3701489112533
28.983058,-16087.0251490277,-5332872.92610481,-16087.0251490277,-16087.0251490277,-5332872.92610481,-90.1728366422653
29.539067,136483.307504982,-5246673.52751921,136483.307504982,136483.307504982,-5246673.52751921,-88.5098835905914
30.105743,234795.959973247,-5264605.7798105,234795.959973247,234795.959973247,-5264605.7798105,-87.4463598559054
30.68329,284812.875955276,-4950257.24472535,284812.875955276,284812.875955276,-4950257.24472535,-86.7071195884434
31.271917,186704.909724343,-4890468.18131342,186704.909724343,186704.909724343,-4890468.18131342,-87.8136631696857
31.871835,-42443.3743528832,-4940482.17451437,-42443.3743528832,-42443.3743528832,-4940482.17451437,-90.4922123608845
32.483263,263637.763420268,-4861700.10487929,263637.763420268,263637.763420268,-4861700.10487929,-86.896034193474
33.10642,97112.6063721481,-4732021.29434895,97112.6063721481,97112.6063721481,-4732021.29434895,-88.8243160410288
33.741532,195293.259154369,-4594954.49449371,195293.259154369,195293.259154369,-4594954.49449371,-87.5662981443385
34.388828,229471.661378108,-4668879.56099248,229471.661378108,229471.661378108,-4668879.56099248,-87.1862229261908
35.048541,316054.009098435,-4458733.57862256,316054.009098435,316054.009098435,-4458733.57862256,-85.945413127059
35.720911,180694.789310685,-4379484.69955596,180694.789310685,180694.789310685,-4379484.69955596,-87.6373521722172
36.406179,222242.528581656,-4379893.84726706,222242.528581656,222242.528581656,-4379893.84726706,-87.0952155844639
37.104593,209147.502461688,-4350783.93448508,209147.502461688,209147.502461688,-4350783.93448508,-87.2478404669608
37.816406,233585.51238104,-4228128.09233948,233585.51238104,233585.51238104,-4228128.09233948,-86.8378741576888
38.541874,103203.639326614,-4251532.26399695,103203.639326614,103203.639326614,-4251532.26399695,-88.6094491184133
39.281259,94476.4676081095,-3939253.59850051,94476.4676081095,94476.4676081095,-3939253.59850051,-88.6261190841284
40.034829,259120.586438724,-3925225.54403961,259120.586438724,259120.586438724,-3925225.54403961,-86.2231454919479
40.802855,194744.438623052,-3839055.35420939,194744.438623052,194744.438623052,-3839055.35420939,-87.0960360434903
41.585615,160923.916617552,-3916323.53917698,160923.916617552,160923.916617552,-3916323.53917698,-87.6470081860646
42.383391,253902.686678068,-3806634.09605735,253902.686678068,253902.686678068,-3806634.09605735,-86.1840208771468
43.196472,177298.822170872,-3778154.07811326,177298.822170872,177298.822170872,-3778154.07811326,-87.3132310306597
44.02515,96917.822889037,-3829899.32822472,96917.822889037,96917.822889037,-3829899.32822472,-88.5504064558585
44.869727,34177.897575101,-3426804.26227676,34177.897575101,34177.897575101,-3426804.26227676,-89.428568367003
45.730505,298131.088048668,-3528175.74529596,298131.088048668,298131.088048668,-3528175.74529596,-85.1699768415915
46.607797,95494.3948387839,-3548112.35816484,95494.3948387839,95494.3948387839,-3548112.35816484,-88.4583055159659
